Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2023-12-13,85.1899,89.4301,85.1899,89.4301,6807.192314736
2023-12-14,89.4301,90.201,87.6955,89.6228,3837.3471310814
2023-12-15,89.6228,93.4776,89.6228,93.0921,5134.4493252003
2023-12-18,93.0921,93.4776,90.972,93.4776,2623.2594773861
2023-12-19,93.2849,94.8268,92.5139,93.2849,1714.2502597475
2023-12-20,94.4414,94.4414,90.5865,90.5865,4499.3880909597
2023-12-21,90.5865,90.5865,85.7681,87.6955,11007.72806017
2023-12-22,88.081,88.081,84.0335,84.4189,5929.3135497563
2023-12-27,84.0335,85.7681,83.8407,84.8044,4068.7501625122
2023-12-28,84.8044,84.8044,83.8407,84.6118,4037.6197098533
2023-12-29,84.6118,90.3939,82.877,84.2262,7489.9869097202
2024-01-02,85.7681,85.7681,82.4915,82.4915,2862.9639628592
2024-01-03,82.877,86.1535,81.9133,84.8044,5502.82634833
2024-01-04,86.1535,94.0559,83.648,89.6228,16375.655780312
2024-01-05,88.6592,89.0446,87.31,87.5028,2100.2678727173
2024-01-08,87.5028,91.3575,87.5028,89.2374,2631.5609314284
2024-01-09,90.5865,90.5865,86.7318,89.0446,7002.2764847315
2024-01-10,89.0446,90.5865,87.6955,88.6592,6768.7980897901
2024-01-11,87.6955,90.5865,87.1173,89.6228,9703.3620937647
2024-01-12,89.4301,90.5865,89.4301,90.5865,4524.2924530867
2024-01-15,91.3575,91.3575,88.8519,89.0446,2157.3403692586
2024-01-16,90.5865,90.5865,86.539,87.6955,3948.3790788979
2024-01-17,86.7318,88.2737,84.4189,85.7681,3339.2598885397
2024-01-18,86.3464,86.7318,84.4189,86.539,1881.3170223501
2024-01-19,86.7318,89.6228,85.1899,88.081,2128.2852801103
2024-01-22,88.081,88.6592,86.539,87.6955,1568.9748140062
2024-01-23,88.4664,88.4664,84.2262,86.539,3143.1380367889
2024-01-24,88.2737,89.4301,85.9609,86.7318,3817.6311777308
2024-01-25,87.5028,93.4776,86.3464,86.7318,5291.1392702498
2024-01-26,86.7318,91.1648,86.7318,87.5028,8334.6598585304
2024-01-29,87.5028,89.0446,86.3464,88.2737,2102.3432362279
2024-01-30,88.2737,89.2374,86.9245,86.9245,4469.2953200561
2024-01-31,88.8519,88.8519,86.7318,87.1173,2692.7841549908
2024-02-01,86.9245,88.4664,85.7681,86.7318,6078.7397225188
2024-02-02,88.6592,88.6592,84.4189,87.6955,19171.170429077
2024-02-05,87.5028,87.5028,85.9609,85.9609,5900.2584606081
2024-02-06,87.5028,87.5028,84.6118,85.3826,12032.957634402
2024-02-07,84.9972,85.7681,83.648,83.8407,7393.4825064777
2024-02-08,83.8407,90.5865,83.648,89.4301,16409.899278237
2024-02-09,90.7793,92.3211,89.4301,91.1648,6458.5312449568
2024-02-12,90.972,92.8994,89.6228,92.8994,7877.0422044453
2024-02-13,93.2849,94.2485,88.8519,89.8156,4039.6950733639
2024-02-14,90.3939,93.2849,90.0084,93.0921,19407.761869285
2024-02-15,92.5139,98.296,90.5865,96.3686,51710.794911622
2024-02-16,96.3686,101.187,95.2122,98.296,6570.6008745287
2024-02-19,98.7779,104.078,98.296,99.7412,5999.8759091164
2024-02-20,99.7412,102.633,97.8143,100.223,55264.854923507
2024-02-21,100.705,103.115,95.5977,96.8505,7723.4653046616
2024-02-22,98.296,100.223,95.5977,97.3323,16594.60663068
2024-02-23,98.296,99.7412,96.3686,96.8505,13645.515082131
2024-02-26,96.8505,99.7412,96.176,99.2595,1843.9604791594
2024-02-27,99.2595,102.633,98.296,99.7412,10595.768403319
2024-02-28,100.705,103.115,98.296,101.187,38288.381406879
2024-02-29,102.633,110.824,102.15,105.524,7506.5898178049
2024-03-01,103.596,107.45,103.115,106.006,10330.121873962
2024-03-04,109.861,110.824,106.969,107.45,12350.488251523
2024-03-05,106.969,108.897,106.006,106.969,7177.6447013764
2024-03-06,107.932,115.161,101.187,101.187,15040.159361248
2024-03-07,103.596,105.042,99.7412,100.223,6486.5486523498
2024-03-08,101.187,104.078,97.3323,99.2595,20261.773953892
2024-03-11,99.2595,100.705,95.9831,97.3323,19077.7790711
2024-03-12,97.8143,104.561,97.8143,100.223,6807.192314736
2024-03-13,101.187,104.561,101.187,102.633,12242.569348972
2024-03-14,103.115,104.078,99.7412,101.187,4539.8576794162
2024-03-15,103.115,103.115,95.7905,102.15,9840.3360854636
2024-03-18,102.15,102.15,97.3323,98.296,5220.5769108898
2024-03-19,99.2595,99.2595,96.3686,97.3323,34062.941299317
2024-03-20,97.8143,99.2595,94.4414,95.9831,3888.1935370908
2024-03-21,96.3686,100.223,95.5977,96.8505,27195.563442774
2024-03-22,97.3323,99.2595,95.5977,97.3323,10534.545179756
2024-03-25,99.2595,100.223,96.176,98.296,24862.854856871
2024-03-26,99.2595,99.2595,96.3686,98.296,14877.243325666
2024-03-27,100.223,104.561,98.296,103.115,9599.5939182352
2024-03-28,104.078,106.969,103.115,106.969,4066.6747990016
2024-04-02,106.969,110.824,105.524,107.932,5210.2000933368
2024-04-03,108.415,108.897,103.596,105.042,1807.6416177241
2024-04-04,103.115,105.042,97.8143,102.633,11218.377456496
2024-04-05,100.705,102.15,98.296,101.669,7536.6825887085
2024-04-08,102.15,104.561,99.7412,102.633,7973.5466076877
2024-04-09,102.15,105.042,101.187,105.042,9055.8486784605
2024-04-10,105.042,105.524,102.633,105.042,2884.7552797204
2024-04-11,105.042,105.524,100.223,103.115,6053.8353603917
2024-04-12,104.078,104.561,101.669,103.115,13129.787249749
2024-04-15,103.596,105.042,102.15,105.042,7504.5144542943
2024-04-16,106.006,107.932,104.078,104.078,7038.5953461668
2024-04-17,106.006,108.415,104.561,106.969,4442.3155944184
2024-04-18,107.932,109.379,106.969,108.897,8657.3788844272
2024-04-19,109.379,113.233,109.379,113.233,21080.50485882
2024-04-22,113.233,115.161,111.787,112.269,8410.410626667
2024-04-23,112.752,113.233,111.306,113.233,5503.8640300853
2024-04-24,113.233,113.233,107.45,107.45,6132.6991737942
2024-04-25,107.45,108.897,104.078,104.078,3925.5500802814
2024-04-26,105.042,109.861,104.078,107.932,3413.972974921
2024-04-29,109.861,111.306,108.897,111.306,2125.1722348444
2024-04-30,109.379,111.306,105.042,107.45,8095.9930548125
2024-05-02,109.861,110.824,106.006,106.487,2369.0274473388
2024-05-06,108.415,109.861,104.078,108.415,4713.1505325504
2024-05-07,107.932,110.824,106.006,106.487,3945.2660336321
2024-05-08,107.45,109.379,106.487,107.932,1465.2066384767
2024-05-09,109.379,109.861,105.524,106.006,5670.9307926878
2024-05-10,107.932,118.052,106.487,115.642,27471.586789683
2024-05-13,117.088,124.797,116.606,121.907,20961.171456961
2024-05-14,123.352,130.098,123.352,128.17,20695.524927606
2024-05-15,127.688,128.17,123.833,125.762,8856.6137814439
2024-05-16,125.279,130.098,122.87,130.098,10339.461009761
2024-05-17,129.616,130.098,125.279,125.279,5041.0579672237
2024-05-20,124.315,129.616,124.315,126.244,4270.0604230394
2024-05-21,126.725,134.434,126.725,133.471,35134.866552537
2024-05-22,134.916,134.916,130.098,132.025,5722.8148804526
2024-05-23,132.989,134.916,129.616,132.025,6529.0936043169
2024-05-24,132.025,134.916,132.025,133.471,1998.5750606984
2024-05-27,134.916,134.916,128.17,129.134,10457.756729864
2024-05-28,130.098,132.989,127.688,127.688,1505.6762269332
2024-05-29,127.688,130.098,118.533,124.797,7065.5750718045
2024-05-31,125.762,129.134,118.533,125.279,2301.5781332446
2024-06-03,125.279,128.652,122.388,126.244,9799.8664970071
2024-06-04,126.244,126.244,122.388,125.762,1214.0876536953
2024-06-05,125.762,126.244,120.461,121.425,5738.380106782
2024-06-06,121.425,121.425,119.497,121.425,8712.3760174578
2024-06-07,122.87,122.87,119.497,121.425,7801.2914363087
2024-06-10,120.943,121.425,113.715,119.497,3083.9901767371
